date,close
17-08-2017,302.0
18-08-2017,293.96
19-08-2017,290.91
20-08-2017,299.1
21-08-2017,323.29
22-08-2017,309.8
23-08-2017,315.74
24-08-2017,323.42
25-08-2017,327.24
26-08-2017,330.79
27-08-2017,348.13
28-08-2017,346.0
29-08-2017,374.7
30-08-2017,385.93
31-08-2017,384.79
01-09-2017,388.46
02-09-2017,343.14
03-09-2017,341.77
04-09-2017,283.77
05-09-2017,312.09
06-09-2017,335.0
07-09-2017,334.49
08-09-2017,302.99
09-09-2017,296.74
10-09-2017,293.5
11-09-2017,297.3
12-09-2017,293.96
13-09-2017,276.91
14-09-2017,215.21
15-09-2017,253.0
16-09-2017,249.31
17-09-2017,257.55
18-09-2017,294.57
19-09-2017,284.0
20-09-2017,282.0
21-09-2017,257.0
22-09-2017,264.0
23-09-2017,285.93
24-09-2017,282.0
25-09-2017,294.42
26-09-2017,287.9
27-09-2017,309.74
28-09-2017,302.44
29-09-2017,292.22
30-09-2017,304.36
01-10-2017,303.95
02-10-2017,296.5
03-10-2017,292.48
04-10-2017,291.99
05-10-2017,294.81
06-10-2017,310.8
07-10-2017,311.01
08-10-2017,311.07
09-10-2017,297.19
10-10-2017,298.64
11-10-2017,304.01
12-10-2017,303.99
13-10-2017,337.96
14-10-2017,342.0
15-10-2017,337.96
16-10-2017,335.19
17-10-2017,315.19
18-10-2017,309.7
19-10-2017,308.66
20-10-2017,304.51
21-10-2017,298.94
22-10-2017,293.79
23-10-2017,281.09
24-10-2017,297.38
25-10-2017,294.49
26-10-2017,294.71
27-10-2017,296.33
28-10-2017,291.87
29-10-2017,305.0
30-10-2017,307.25
31-10-2017,304.9
01-11-2017,287.01
02-11-2017,283.12
03-11-2017,304.08
04-11-2017,298.04
05-11-2017,295.53
06-11-2017,297.97
07-11-2017,291.78
08-11-2017,303.02
09-11-2017,317.87
10-11-2017,293.5
11-11-2017,310.02
12-11-2017,305.24
13-11-2017,312.99
14-11-2017,335.61
15-11-2017,331.33
16-11-2017,331.49
17-11-2017,331.23
18-11-2017,346.66
19-11-2017,354.15
20-11-2017,367.42
21-11-2017,362.12
22-11-2017,380.65
23-11-2017,405.0
24-11-2017,469.0
25-11-2017,461.82
26-11-2017,462.84
27-11-2017,472.31
28-11-2017,466.17
29-11-2017,421.7
30-11-2017,427.43
01-12-2017,457.51
02-12-2017,457.63
03-12-2017,460.3
04-12-2017,466.67
05-12-2017,452.26
06-12-2017,411.01
07-12-2017,406.33
08-12-2017,442.56
09-12-2017,460.0
10-12-2017,427.35
11-12-2017,508.7
12-12-2017,620.0
13-12-2017,683.99
14-12-2017,679.76
15-12-2017,674.95
16-12-2017,682.81
17-12-2017,707.64
18-12-2017,784.0
19-12-2017,798.0
20-12-2017,790.21
21-12-2017,782.41
22-12-2017,635.97
23-12-2017,640.34
24-12-2017,658.0
25-12-2017,714.95
26-12-2017,750.0
27-12-2017,739.89
28-12-2017,707.89
29-12-2017,733.99
30-12-2017,681.06
31-12-2017,733.98
01-01-2018,754.99
02-01-2018,855.28
03-01-2018,934.03
04-01-2018,940.0
05-01-2018,959.3
06-01-2018,1004.11
07-01-2018,1123.09
08-01-2018,1133.18
09-01-2018,1291.0
10-01-2018,1247.0
11-01-2018,1138.93
12-01-2018,1253.87
13-01-2018,1388.02
14-01-2018,1347.0
15-01-2018,1271.0
16-01-2018,1000.0
17-01-2018,1000.0
18-01-2018,994.0
19-01-2018,1032.5
20-01-2018,1152.75
21-01-2018,1049.0
22-01-2018,993.0
23-01-2018,980.0
24-01-2018,1061.0
25-01-2018,1056.52
26-01-2018,1051.03
27-01-2018,1118.99
28-01-2018,1251.96
29-01-2018,1177.01
30-01-2018,1085.5
31-01-2018,1124.81
01-02-2018,1041.94
02-02-2018,922.3
03-02-2018,971.0
04-02-2018,823.56
05-02-2018,697.92
06-02-2018,779.25
07-02-2018,754.0
08-02-2018,781.66
09-02-2018,877.0
10-02-2018,851.15
11-02-2018,808.99
12-02-2018,866.66
13-02-2018,841.57
14-02-2018,919.09
15-02-2018,924.55
16-02-2018,938.67
17-02-2018,969.99
18-02-2018,911.0
19-02-2018,938.11
20-02-2018,882.99
21-02-2018,835.89
22-02-2018,801.49
23-02-2018,851.6
24-02-2018,833.94
25-02-2018,841.19
26-02-2018,867.98
27-02-2018,870.11
28-02-2018,853.5
01-03-2018,870.63
02-03-2018,856.28
03-03-2018,856.02
04-03-2018,866.66
05-03-2018,849.84
06-03-2018,813.11
07-03-2018,749.9
08-03-2018,695.46
09-03-2018,723.71
10-03-2018,680.58
11-03-2018,720.85
12-03-2018,697.11
13-03-2018,689.94
14-03-2018,610.1
15-03-2018,608.83
16-03-2018,599.05
17-03-2018,546.95
18-03-2018,537.0
19-03-2018,556.88
20-03-2018,557.0
21-03-2018,559.17
22-03-2018,539.92
23-03-2018,543.03
24-03-2018,520.22
25-03-2018,523.74
26-03-2018,485.0
27-03-2018,448.5
28-03-2018,446.67
29-03-2018,384.0
30-03-2018,392.43
31-03-2018,393.92
01-04-2018,378.58
02-04-2018,385.05
03-04-2018,415.01
04-04-2018,378.16
05-04-2018,381.22
06-04-2018,368.89
07-04-2018,384.51
08-04-2018,400.4
09-04-2018,399.44
10-04-2018,416.07
11-04-2018,429.52
12-04-2018,495.67
13-04-2018,495.11
14-04-2018,502.68
15-04-2018,533.88
16-04-2018,511.46
17-04-2018,502.56
18-04-2018,526.09
19-04-2018,568.14
20-04-2018,617.09
