date,close
21-03-2021,264.6513
22-03-2021,254.7976
23-03-2021,255.4646
24-03-2021,248.5236
25-03-2021,233.9466
26-03-2021,255.2105
27-03-2021,269.2234
28-03-2021,268.4263
29-03-2021,275.2991
30-03-2021,311.2962
31-03-2021,302.3724
01-04-2021,334.7991
02-04-2021,338.2932
03-04-2021,321.9497
04-04-2021,348.8617
05-04-2021,368.0263
06-04-2021,403.3648
07-04-2021,375.5538
08-04-2021,418.7048
09-04-2021,453.9937
10-04-2021,471.2975
11-04-2021,525.9275
12-04-2021,596.7104
13-04-2021,551.6442
14-04-2021,550.0182
15-04-2021,541.8824
16-04-2021,508.2743
17-04-2021,514.6861
18-04-2021,481.4367
19-04-2021,504.0322
20-04-2021,586.3635
21-04-2021,543.6327
22-04-2021,505.2411
23-04-2021,526.5357
24-04-2021,496.992
25-04-2021,505.0
26-04-2021,535.33
27-04-2021,568.78
28-04-2021,562.78
29-04-2021,599.7
30-04-2021,622.65
01-05-2021,620.0
02-05-2021,621.78
03-05-2021,676.15
04-05-2021,609.3
05-05-2021,651.1
06-05-2021,633.99
07-05-2021,624.3
08-05-2021,646.1
09-05-2021,661.74
10-05-2021,631.1
11-05-2021,671.91
12-05-2021,594.65
13-05-2021,571.1
14-05-2021,602.61
15-05-2021,563.41
16-05-2021,564.32
17-05-2021,512.07
18-05-2021,507.88
19-05-2021,334.8
20-05-2021,391.17
21-05-2021,326.01
22-05-2021,299.76
23-05-2021,260.72
24-05-2021,345.64
25-05-2021,343.18
26-05-2021,379.16
27-05-2021,369.67
28-05-2021,328.82
29-05-2021,305.04
30-05-2021,325.57
31-05-2021,353.33
01-06-2021,362.39
02-06-2021,401.54
03-06-2021,428.48
04-06-2021,390.7
05-06-2021,390.08
06-06-2021,393.73
07-06-2021,357.96
08-06-2021,352.5
09-06-2021,375.54
10-06-2021,351.94
11-06-2021,345.75
12-06-2021,343.7
13-06-2021,365.8
14-06-2021,370.19
15-06-2021,366.48
16-06-2021,347.22
17-06-2021,352.85
18-06-2021,337.16
19-06-2021,334.01
20-06-2021,339.08
21-06-2021,270.76
22-06-2021,262.1
23-06-2021,296.25
24-06-2021,308.62
25-06-2021,280.81
26-06-2021,279.65
27-06-2021,290.87
28-06-2021,290.0
29-06-2021,300.79
30-06-2021,303.71
01-07-2021,287.43
02-07-2021,287.17
03-07-2021,298.13
04-07-2021,307.62
05-07-2021,302.02
06-07-2021,319.92
07-07-2021,327.51
08-07-2021,310.14
09-07-2021,317.09
10-07-2021,316.12
11-07-2021,322.16
12-07-2021,316.12
13-07-2021,308.94
14-07-2021,309.4
15-07-2021,316.11
16-07-2021,302.88
17-07-2021,300.52
18-07-2021,302.1
19-07-2021,280.54
20-07-2021,264.44
21-07-2021,293.26
22-07-2021,293.36
23-07-2021,299.27
24-07-2021,301.56
25-07-2021,302.56
26-07-2021,304.0
27-07-2021,313.48
28-07-2021,313.8
29-07-2021,317.03
30-07-2021,322.58
31-07-2021,332.38
01-08-2021,332.59
02-08-2021,330.55
03-08-2021,323.43
04-08-2021,334.77
05-08-2021,337.91
06-08-2021,342.39
07-08-2021,356.18
08-08-2021,341.79
09-08-2021,354.32
10-08-2021,371.92
11-08-2021,390.96
12-08-2021,385.66
13-08-2021,410.76
14-08-2021,408.67
15-08-2021,414.05
16-08-2021,415.72
17-08-2021,401.8
18-08-2021,396.15
19-08-2021,431.27
20-08-2021,454.93
21-08-2021,448.74
22-08-2021,448.68
23-08-2021,499.06
24-08-2021,471.62
25-08-2021,503.19
26-08-2021,478.1
27-08-2021,494.5
28-08-2021,486.2
29-08-2021,479.7
30-08-2021,460.3
31-08-2021,463.9
01-09-2021,489.4
02-09-2021,483.7
03-09-2021,488.5
04-09-2021,497.7
05-09-2021,504.8
06-09-2021,496.1
07-09-2021,418.7
08-09-2021,415.0
09-09-2021,421.3
10-09-2021,401.4
11-09-2021,405.1
12-09-2021,416.3
13-09-2021,399.1
14-09-2021,414.3
15-09-2021,431.3
16-09-2021,424.3
17-09-2021,406.6
18-09-2021,410.7
19-09-2021,408.6
20-09-2021,364.1
21-09-2021,344.4
22-09-2021,379.0
23-09-2021,383.5
24-09-2021,355.0
25-09-2021,349.6
26-09-2021,344.0
27-09-2021,335.5
28-09-2021,333.0
29-09-2021,367.7
30-09-2021,387.5
01-10-2021,421.5
02-10-2021,427.1
03-10-2021,430.5
04-10-2021,426.3
05-10-2021,442.1
06-10-2021,434.9
07-10-2021,438.5
08-10-2021,419.2
09-10-2021,421.9
10-10-2021,404.1
11-10-2021,413.1
12-10-2021,444.2
13-10-2021,470.8
14-10-2021,472.7
15-10-2021,474.5
16-10-2021,465.8
17-10-2021,470.9
18-10-2021,484.9
19-10-2021,488.1
20-10-2021,501.3
21-10-2021,470.9
22-10-2021,479.3
23-10-2021,485.5
24-10-2021,475.8
25-10-2021,485.1
26-10-2021,478.1
27-10-2021,448.7
28-10-2021,491.9
29-10-2021,530.3
30-10-2021,528.3
31-10-2021,524.6
01-11-2021,551.3
02-11-2021,554.4
03-11-2021,568.4
04-11-2021,558.7
05-11-2021,607.3
06-11-2021,637.7
07-11-2021,649.6
08-11-2021,653.5
09-11-2021,635.0
10-11-2021,614.1
11-11-2021,628.4
12-11-2021,626.9
13-11-2021,649.5
14-11-2021,650.8
15-11-2021,633.8
16-11-2021,588.7
17-11-2021,578.0
18-11-2021,531.8
19-11-2021,581.0
20-11-2021,604.3
21-11-2021,584.0
22-11-2021,559.3
23-11-2021,591.1
24-11-2021,590.3
25-11-2021,639.1
26-11-2021,587.3
27-11-2021,599.9
28-11-2021,611.3
29-11-2021,623.4
30-11-2021,622.5
01-12-2021,627.5
02-12-2021,619.9
03-12-2021,595.0
04-12-2021,568.6
05-12-2021,557.8
06-12-2021,587.5
07-12-2021,578.7
08-12-2021,607.2
09-12-2021,570.2
10-12-2021,552.4
11-12-2021,564.5
12-12-2021,570.3
13-12-2021,521.0
14-12-2021,528.1
15-12-2021,541.1
16-12-2021,526.2
17-12-2021,525.5
18-12-2021,533.9
19-12-2021,529.8
20-12-2021,524.0
21-12-2021,528.3
22-12-2021,533.6
23-12-2021,549.0
24-12-2021,542.1
25-12-2021,547.4
26-12-2021,546.4
27-12-2021,563.7
28-12-2021,534.2
29-12-2021,514.5
30-12-2021,518.5
31-12-2021,511.4
01-01-2022,527.3
02-01-2022,531.0
03-01-2022,511.9
04-01-2022,506.9
05-01-2022,474.1
06-01-2022,472.6
07-01-2022,448.1
08-01-2022,429.9
09-01-2022,438.7
10-01-2022,424.7
11-01-2022,463.6
12-01-2022,487.8
13-01-2022,475.2
14-01-2022,490.0
15-01-2022,494.5
16-01-2022,498.6
17-01-2022,475.2
18-01-2022,471.4
19-01-2022,461.9
20-01-2022,440.2
21-01-2022,383.9
22-01-2022,358.3
23-01-2022,383.9
24-01-2022,371.3
25-01-2022,385.1
26-01-2022,375.1
27-01-2022,389.9
28-01-2022,385.9
29-01-2022,389.3
30-01-2022,377.2
31-01-2022,374.3
01-02-2022,384.2
02-02-2022,366.9
03-02-2022,372.3
04-02-2022,399.5
05-02-2022,413.7
06-02-2022,419.9
07-02-2022,433.5
08-02-2022,407.8
09-02-2022,422.9
10-02-2022,414.7
11-02-2022,400.0
12-02-2022,403.6
13-02-2022,397.9
14-02-2022,403.4
15-02-2022,432.4
16-02-2022,427.3
17-02-2022,402.4
18-02-2022,399.2
19-02-2022,399.8
20-02-2022,380.6
21-02-2022,356.6
22-02-2022,374.3
23-02-2022,365.6
24-02-2022,361.2
25-02-2022,375.0
26-02-2022,373.7
27-02-2022,360.1
28-02-2022,395.6
01-03-2022,408.7
02-03-2022,409.3
03-03-2022,402.6
04-03-2022,374.2
05-03-2022,384.7
06-03-2022,375.0
07-03-2022,380.6
08-03-2022,381.4
09-03-2022,393.2
10-03-2022,372.0
11-03-2022,371.9
12-03-2022,372.4
13-03-2022,361.4
14-03-2022,373.4
15-03-2022,371.7
16-03-2022,385.4
17-03-2022,391.8
18-03-2022,397.2
19-03-2022,399.9
20-03-2022,390.8
21-03-2022,396.0
22-03-2022,404.3
23-03-2022,408.4
24-03-2022,414.2
25-03-2022,410.3
26-03-2022,415.8
27-03-2022,430.5
28-03-2022,430.2
29-03-2022,434.2
30-03-2022,442.1
31-03-2022,428.9
01-04-2022,447.7
02-04-2022,437.2
03-04-2022,450.4
04-04-2022,447.6
05-04-2022,444.7
06-04-2022,420.1
07-04-2022,436.0
08-04-2022,421.5
09-04-2022,426.6
10-04-2022,418.1
11-04-2022,394.6
12-04-2022,413.6
13-04-2022,423.4
14-04-2022,414.7
15-04-2022,417.3
16-04-2022,417.3
17-04-2022,406.6
18-04-2022,416.8
19-04-2022,422.3
20-04-2022,418.4
21-04-2022,404.9
22-04-2022,406.6
23-04-2022,401.1
24-04-2022,398.8
25-04-2022,404.3
26-04-2022,385.9
27-04-2022,391.3
28-04-2022,407.1
29-04-2022,393.0
30-04-2022,377.1
01-05-2022,389.9
02-05-2022,389.5
03-05-2022,383.9
04-05-2022,402.6
05-05-2022,378.4
06-05-2022,379.1
07-05-2022,365.5
08-05-2022,355.9
09-05-2022,296.1
10-05-2022,319.1
11-05-2022,271.5
12-05-2022,269.0
13-05-2022,290.6
14-05-2022,296.9
15-05-2022,312.4
16-05-2022,297.2
17-05-2022,306.2
18-05-2022,287.7
19-05-2022,307.1
20-05-2022,302.2
21-05-2022,312.4
22-05-2022,319.4
23-05-2022,317.2
24-05-2022,328.3
25-05-2022,325.7
26-05-2022,303.0
27-05-2022,301.6
28-05-2022,307.5
29-05-2022,305.8
30-05-2022,321.8
31-05-2022,320.9
01-06-2022,300.4
02-06-2022,308.3
03-06-2022,298.6
04-06-2022,301.3
05-06-2022,299.1
06-06-2022,295.1
07-06-2022,290.3
08-06-2022,288.5
09-06-2022,289.9
10-06-2022,286.4
11-06-2022,269.9
12-06-2022,254.8
13-06-2022,223.0
14-06-2022,223.0
15-06-2022,233.6
16-06-2022,210.2
17-06-2022,215.8
18-06-2022,197.0
19-06-2022,215.1
20-06-2022,216.5
21-06-2022,220.1
22-06-2022,214.4
23-06-2022,228.9
24-06-2022,240.2
25-06-2022,239.7
26-06-2022,233.9
27-06-2022,233.8
28-06-2022,226.9
29-06-2022,219.7
30-06-2022,219.6
01-07-2022,216.9
02-07-2022,218.3
03-07-2022,219.2
04-07-2022,231.5
05-07-2022,230.8
06-07-2022,238.6
07-07-2022,241.4
08-07-2022,240.7
09-07-2022,243.3
10-07-2022,234.7
11-07-2022,225.6
12-07-2022,220.6
13-07-2022,230.5
14-07-2022,238.5
15-07-2022,238.5
16-07-2022,249.8
17-07-2022,247.8
18-07-2022,264.1
19-07-2022,268.6
20-07-2022,258.2
21-07-2022,265.6
22-07-2022,262.4
23-07-2022,259.2
24-07-2022,261.4
25-07-2022,244.6
26-07-2022,249.4
27-07-2022,271.6
28-07-2022,277.2
29-07-2022,293.6
30-07-2022,287.8
31-07-2022,283.4
01-08-2022,283.2
02-08-2022,283.8
03-08-2022,297.5
04-08-2022,311.8
05-08-2022,315.9
06-08-2022,315.2
07-08-2022,322.8
08-08-2022,324.9
09-08-2022,324.4
10-08-2022,328.8
11-08-2022,323.6
12-08-2022,327.9
13-08-2022,324.3
14-08-2022,317.6
15-08-2022,319.5
16-08-2022,316.1
17-08-2022,306.9
18-08-2022,298.1
19-08-2022,279.1
20-08-2022,283.7
21-08-2022,301.9
22-08-2022,300.0
23-08-2022,299.3
24-08-2022,296.4
25-08-2022,301.2
26-08-2022,279.6
27-08-2022,277.9
28-08-2022,276.5
29-08-2022,285.9
30-08-2022,281.6
31-08-2022,279.2
01-09-2022,278.3
02-09-2022,277.5
03-09-2022,277.8
04-09-2022,279.1
05-09-2022,276.9
06-09-2022,262.5
07-09-2022,278.9
08-09-2022,280.5
09-09-2022,293.4
10-09-2022,296.7
11-09-2022,295.3
12-09-2022,294.1
13-09-2022,277.4
14-09-2022,279.3
15-09-2022,271.1
16-09-2022,274.9
17-09-2022,279.1
18-09-2022,266.2
19-09-2022,271.9
20-09-2022,266.3
21-09-2022,264.0
22-09-2022,275.3
23-09-2022,276.7
24-09-2022,274.4
25-09-2022,274.3
26-09-2022,276.1
27-09-2022,272.3
28-09-2022,281.6
29-09-2022,284.1
30-09-2022,284.8
01-10-2022,282.9
02-10-2022,284.7
03-10-2022,286.9
04-10-2022,296.2
05-10-2022,294.2
06-10-2022,287.0
07-10-2022,282.3
08-10-2022,276.4
09-10-2022,278.2
10-10-2022,271.5
11-10-2022,271.4
12-10-2022,270.9
13-10-2022,271.6
14-10-2022,269.4
15-10-2022,268.2
16-10-2022,272.5
17-10-2022,275.6
18-10-2022,273.1
19-10-2022,272.0
20-10-2022,269.0
21-10-2022,270.1
22-10-2022,270.4
23-10-2022,276.0
24-10-2022,274.1
25-10-2022,284.2
26-10-2022,290.2
27-10-2022,286.7
28-10-2022,297.9
29-10-2022,304.4
30-10-2022,313.5
31-10-2022,325.7
01-11-2022,323.9
02-11-2022,320.2
03-11-2022,329.5
04-11-2022,354.6
05-11-2022,349.2
06-11-2022,337.9
07-11-2022,337.0
08-11-2022,327.4
09-11-2022,267.3
10-11-2022,304.0
11-11-2022,290.4
12-11-2022,282.8
13-11-2022,276.4
14-11-2022,279.0
15-11-2022,277.0
16-11-2022,271.8
17-11-2022,267.9
18-11-2022,274.1
19-11-2022,272.6
20-11-2022,264.2
21-11-2022,253.9
22-11-2022,266.7
23-11-2022,298.8
24-11-2022,300.2
25-11-2022,300.8
26-11-2022,311.4
27-11-2022,307.6
28-11-2022,293.5
29-11-2022,295.4
30-11-2022,300.6
01-12-2022,292.3
02-12-2022,293.4
03-12-2022,290.4
04-12-2022,291.8
05-12-2022,288.4
06-12-2022,290.2
07-12-2022,284.2
08-12-2022,290.4
09-12-2022,286.0
10-12-2022,288.2
11-12-2022,284.4
12-12-2022,276.1
13-12-2022,272.2
14-12-2022,267.7
15-12-2022,258.8
16-12-2022,231.2
17-12-2022,242.1
18-12-2022,251.0
19-12-2022,240.4
20-12-2022,251.4
21-12-2022,246.2
22-12-2022,245.8
23-12-2022,246.2
24-12-2022,244.5
25-12-2022,243.2
26-12-2022,244.3
27-12-2022,246.7
28-12-2022,244.5
29-12-2022,246.3
30-12-2022,245.8
31-12-2022,246.3
01-01-2023,244.4
02-01-2023,245.2
03-01-2023,246.1
04-01-2023,258.9
05-01-2023,256.7
06-01-2023,259.9
07-01-2023,261.3
08-01-2023,274.9
09-01-2023,272.6
10-01-2023,277.1
11-01-2023,284.8
12-01-2023,287.7
13-01-2023,293.7
14-01-2023,305.1
15-01-2023,302.2
16-01-2023,299.0
17-01-2023,299.4
18-01-2023,286.7
19-01-2023,294.6
20-01-2023,305.1
21-01-2023,299.0
22-01-2023,303.0
23-01-2023,305.1
24-01-2023,300.3
25-01-2023,306.9
26-01-2023,304.7
27-01-2023,308.0
28-01-2023,306.1
29-01-2023,317.2
30-01-2023,307.2
31-01-2023,312.0
01-02-2023,317.0
02-02-2023,323.5
03-02-2023,332.2
04-02-2023,330.4
05-02-2023,327.8
06-02-2023,324.3
07-02-2023,333.0
08-02-2023,328.2
09-02-2023,306.2
10-02-2023,305.8
11-02-2023,310.4
12-02-2023,312.6
13-02-2023,294.3
14-02-2023,296.2
15-02-2023,317.4
16-02-2023,304.4
17-02-2023,313.0
18-02-2023,316.5
19-02-2023,311.5
20-02-2023,315.4
21-02-2023,311.5
22-02-2023,312.4
23-02-2023,308.3
24-02-2023,302.3
25-02-2023,302.4
26-02-2023,308.7
27-02-2023,304.6
28-02-2023,301.4
01-03-2023,302.7
02-03-2023,299.8
03-03-2023,290.4
04-03-2023,289.6
05-03-2023,288.7
06-03-2023,287.8
07-03-2023,289.3
08-03-2023,287.1
09-03-2023,277.1
10-03-2023,277.4
11-03-2023,276.0
12-03-2023,288.1
13-03-2023,307.9
14-03-2023,308.4
15-03-2023,306.3
16-03-2023,329.4
17-03-2023,338.9
18-03-2023,331.0
19-03-2023,336.7
20-03-2023,332.5
21-03-2023,334.4
22-03-2023,321.1
23-03-2023,329.4
24-03-2023,322.1
25-03-2023,322.4
26-03-2023,328.6
27-03-2023,310.6
28-03-2023,313.2
29-03-2023,313.7
30-03-2023,316.4
31-03-2023,316.9
01-04-2023,314.9
02-04-2023,313.7
03-04-2023,308.8
04-04-2023,310.8
05-04-2023,313.9
06-04-2023,312.3
07-04-2023,310.3
08-04-2023,310.5
09-04-2023,312.8
10-04-2023,318.5
11-04-2023,322.3
12-04-2023,319.9
13-04-2023,324.7
14-04-2023,328.9
15-04-2023,333.0
16-04-2023,347.7
17-04-2023,340.0
18-04-2023,343.1
19-04-2023,322.4
20-04-2023,318.1
21-04-2023,321.2
22-04-2023,332.2
23-04-2023,330.7
24-04-2023,331.2
25-04-2023,338.4
26-04-2023,330.6
27-04-2023,330.9
28-04-2023,324.1
29-04-2023,321.9
30-04-2023,337.5
01-05-2023,328.5
02-05-2023,321.5
03-05-2023,325.9
04-05-2023,323.8
05-05-2023,326.5
06-05-2023,321.9
07-05-2023,321.0
08-05-2023,313.8
09-05-2023,312.1
10-05-2023,314.3
11-05-2023,307.5
12-05-2023,308.5
13-05-2023,310.7
14-05-2023,312.1
15-05-2023,313.4
16-05-2023,311.4
17-05-2023,314.3
18-05-2023,309.3
19-05-2023,308.9
20-05-2023,310.6
21-05-2023,306.4
22-05-2023,309.0
23-05-2023,313.5
24-05-2023,306.0
25-05-2023,304.5
26-05-2023,306.8
27-05-2023,307.4
28-05-2023,314.1
29-05-2023,311.6
30-05-2023,311.5
31-05-2023,306.8
01-06-2023,304.9
02-06-2023,307.2
03-06-2023,306.6
04-06-2023,305.0
05-06-2023,276.9
06-06-2023,281.2
07-06-2023,259.3
08-06-2023,262.0
09-06-2023,260.5
10-06-2023,238.7
11-06-2023,235.4
12-06-2023,231.3
13-06-2023,244.2
14-06-2023,237.9
15-06-2023,236.4
16-06-2023,239.3
17-06-2023,244.5
18-06-2023,244.1
19-06-2023,243.1
20-06-2023,247.7
21-06-2023,248.8
22-06-2023,240.8
23-06-2023,244.3
24-06-2023,236.4
25-06-2023,238.8
26-06-2023,236.1
27-06-2023,237.5
28-06-2023,230.6
29-06-2023,233.1
30-06-2023,240.3
01-07-2023,247.9
02-07-2023,246.5
03-07-2023,246.5
04-07-2023,242.5
05-07-2023,238.9
06-07-2023,232.2
07-07-2023,235.6
08-07-2023,236.3
09-07-2023,234.1
10-07-2023,246.2
11-07-2023,248.6
12-07-2023,243.9
13-07-2023,256.1
14-07-2023,248.1
15-07-2023,251.1
16-07-2023,242.3
17-07-2023,244.1
18-07-2023,240.2
19-07-2023,240.8
20-07-2023,242.8
21-07-2023,243.7
22-07-2023,241.1
23-07-2023,242.5
24-07-2023,238.9
25-07-2023,237.7
26-07-2023,239.0
27-07-2023,240.6
28-07-2023,241.9
29-07-2023,242.4
30-07-2023,242.5
31-07-2023,241.0
01-08-2023,247.7
02-08-2023,240.7
03-08-2023,241.1
04-08-2023,241.7
05-08-2023,243.2
06-08-2023,243.2
07-08-2023,242.1
08-08-2023,245.2
09-08-2023,243.8
10-08-2023,241.5
11-08-2023,239.7
12-08-2023,240.3
13-08-2023,240.2
14-08-2023,240.4
15-08-2023,236.7
16-08-2023,232.0
17-08-2023,218.1
18-08-2023,216.1
19-08-2023,216.8
20-08-2023,216.5
21-08-2023,210.4
22-08-2023,210.9
23-08-2023,216.6
24-08-2023,219.0
25-08-2023,218.4
26-08-2023,216.5
27-08-2023,218.4
28-08-2023,218.8
29-08-2023,226.9
30-08-2023,223.8
31-08-2023,216.7
01-09-2023,213.7
02-09-2023,214.4
03-09-2023,214.4
04-09-2023,215.2
05-09-2023,214.6
06-09-2023,215.2
07-09-2023,217.1
08-09-2023,214.7
09-09-2023,214.1
10-09-2023,212.4
11-09-2023,206.1
12-09-2023,210.7
13-09-2023,212.5
14-09-2023,212.2
15-09-2023,214.1
16-09-2023,214.9
17-09-2023,216.5
18-09-2023,216.0
19-09-2023,217.2
20-09-2023,214.4
21-09-2023,210.8
22-09-2023,211.1
23-09-2023,210.5
24-09-2023,208.3
25-09-2023,209.9
26-09-2023,212.6
27-09-2023,212.0
28-09-2023,215.0
29-09-2023,215.2
30-09-2023,214.6
01-10-2023,218.2
02-10-2023,214.6
03-10-2023,213.5
04-10-2023,213.4
05-10-2023,210.6
06-10-2023,213.4
07-10-2023,212.3
08-10-2023,211.4
09-10-2023,205.8
10-10-2023,208.6
11-10-2023,206.6
12-10-2023,205.1
13-10-2023,206.1
14-10-2023,206.5
15-10-2023,209.7
16-10-2023,214.6
17-10-2023,211.4
18-10-2023,210.2
19-10-2023,211.2
20-10-2023,212.1
21-10-2023,214.2
22-10-2023,217.8
23-10-2023,228.5
24-10-2023,225.2
25-10-2023,222.1
26-10-2023,223.2
27-10-2023,224.1
28-10-2023,225.7
29-10-2023,227.1
30-10-2023,228.0
31-10-2023,226.2
