open;high;low;close;volume;marketCap;timestamp
4384.4399414063;4484.7001953125;4243.7099609375;4331.6899414063;2553359872;71527949443.3;"2017-08-17T00:00:00.000Z"
4137.75;4243.259765625;3970.5500488281;4193.7001953125;2975820032;69265141207.5;"2017-08-19T00:00:00.000Z"
3998.3500976563;4128.759765625;3674.580078125;4100.5200195313;3764239872;67743202431.2;"2017-08-22T00:00:00.000Z"
4332.8198242188;4455.7001953125;4307.3500976563;4371.6000976563;1727970048;72241507489.2;"2017-08-25T00:00:00.000Z"
4384.4501953125;4403.9301757813;4224.6401367188;4382.66015625;1959330048;72445588933;"2017-08-28T00:00:00.000Z"
4555.58984375;4736.0498046875;4549.3999023438;4703.3901367188;1944930048;77775374624.8;"2017-08-31T00:00:00.000Z"
4585.2700195313;4714.080078125;4417.58984375;4582.9599609375;1933190016;75812181333.5;"2017-09-03T00:00:00.000Z"
4376.58984375;4617.25;4376.58984375;4597.1201171875;2172100096;76077049312;"2017-09-06T00:00:00.000Z"
4229.8100585938;4308.8198242188;4114.1098632813;4226.0600585938;1386230016;69963847482.2;"2017-09-09T00:00:00.000Z"
4168.8798828125;4344.6499023438;4085.2199707031;4130.8100585938;1864530048;68412822896;"2017-09-12T00:00:00.000Z"
3166.3000488281;3733.4499511719;2946.6201171875;3637.5200195313;4148069888;60267886368;"2017-09-15T00:00:00.000Z"
3591.0900878906;4079.2299804688;3591.0900878906;4065.1999511719;1943209984;67377945990;"2017-09-18T00:00:00.000Z"
3901.4699707031;3916.419921875;3613.6298828125;3631.0400390625;1411480064;60202370872;"2017-09-21T00:00:00.000Z"
3629.919921875;3819.2099609375;3594.580078125;3792.3999023438;928113984;62892069388.8;"2017-09-23T00:00:00.000Z"
3928.4099121094;3969.8898925781;3869.8999023438;3892.3500976563;1043740032;64569365079.4;"2017-09-26T00:00:00.000Z"
4171.6201171875;4214.6298828125;4039.2900390625;4163.0698242188;1367049984;69086146650;"2017-09-29T00:00:00.000Z"
4395.8100585938;4470.2299804688;4377.4599609375;4409.3198242188;1431730048;73195646775.8;"2017-10-02T00:00:00.000Z"
4229.8798828125;4362.6401367188;4164.0498046875;4328.41015625;1161769984;71876277937;"2017-10-05T00:00:00.000Z"
4429.669921875;4624.1401367188;4405.6401367188;4610.4799804688;1313869952;76589293760;"2017-10-08T00:00:00.000Z"
4789.25;4873.7299804688;4751.6298828125;4826.4799804688;1222279936;80205238020;"2017-10-11T00:00:00.000Z"
5643.5297851563;5837.7001953125;5591.6401367188;5831.7900390625;1669030016;96942498330.5;"2017-10-14T00:00:00.000Z"
5741.580078125;5800.3500976563;5472.7202148438;5605.509765625;1821570048;93218297188.6;"2017-10-17T00:00:00.000Z"
5708.1098632813;6060.1098632813;5627.2299804688;6011.4501953125;2354429952;100007083345;"2017-10-20T00:00:00.000Z"
6006;6075.58984375;5732.4702148438;5930.3198242188;2401840128;98695054084;"2017-10-23T00:00:00.000Z"
5747.9501953125;5976.7998046875;5721.2202148438;5904.830078125;1905040000;98310176011;"2017-10-26T00:00:00.000Z"
5754.4399414063;6255.7099609375;5724.580078125;6153.8500976563;2859040000;102482445590;"2017-10-29T00:00:00.000Z"
6132.0200195313;6470.4301757813;6103.330078125;6468.3999023438;2311379968;107743731291;"2017-10-31T00:00:00.000Z"
7087.5297851563;7461.2900390625;7002.9399414063;7207.759765625;3369860096;120097405359;"2017-11-03T00:00:00.000Z"
7403.2202148438;7445.7700195313;7007.3100585938;7022.759765625;3111899904;117050623317;"2017-11-06T00:00:00.000Z"
7446.830078125;7446.830078125;7101.5200195313;7143.580078125;3226249984;119104730750;"2017-11-09T00:00:00.000Z"
6295.4501953125;6625.0498046875;5519.009765625;5950.0698242188;8957349888;99226193603.2;"2017-11-12T00:00:00.000Z"
6634.759765625;7342.25;6634.759765625;7315.5400390625;4200880128;122035826506;"2017-11-15T00:00:00.000Z"
