open;high;low;close;volume;marketCap;timestamp
849.2620239258;875.9260253906;802.6680297852;812.8449707031;2150370048;79482140043.6;"2018-02-22T00:00:00.000Z"
839.458984375;853.1459960938;822.3809814453;844.8099975586;1646960000;82659602549;"2018-02-25T00:00:00.000Z"
877.9340209961;890.1079711914;855.1240234375;855.1989746094;1963980032;83728564148.6;"2018-02-28T00:00:00.000Z"
856.7109985352;868.4539794922;855.2069702148;857.2249755859;1699369984;83979651072.5;"2018-03-03T00:00:00.000Z"
853.8170166016;853.8170166016;809.9310302734;816.9509887695;1943069952;80083929890.6;"2018-03-06T00:00:00.000Z"
702.1970214844;729.1560058594;648.1069946289;728.916015625;2233019904;71498733754;"2018-03-09T00:00:00.000Z"
724.4060058594;742.5139770508;683.2680053711;699.8309936523;1764999936;68688764839.3;"2018-03-12T00:00:00.000Z"
614.8389892578;620.616027832;579.5050048828;611.3040161133;1770460032;60037233577.4;"2018-03-15T00:00:00.000Z"
551.6400146484;551.6400146484;460.0880126953;538.6439819336;2685499904;52934184182;"2018-03-18T00:00:00.000Z"
559.0999755859;589.6069946289;550.5720214844;561.7319946289;1781270016;55237391316;"2018-03-21T00:00:00.000Z"
542.5720214844;545.382019043;526.0800170898;526.4390258789;1300009984;51799123912;"2018-03-24T00:00:00.000Z"
489.5899963379;491.4590148926;449.9710083008;450.1159973145;1617939968;44316774117.9;"2018-03-27T00:00:00.000Z"
448.075012207;450.8129882813;385.8129882813;385.9679870605;1970230016;38016727208.9;"2018-03-29T00:00:00.000Z"
397.2539978027;400.5280151367;363.8049926758;379.6069946289;1256930048;37413407420.1;"2018-04-01T00:00:00.000Z"
416.4849853516;417.4719848633;375.3099975586;380.5429992676;1287730048;37528933631.2;"2018-04-04T00:00:00.000Z"
370.3800048828;393.0589904785;369.9360046387;385.3139953613;951475008;38023057370.7;"2018-04-07T00:00:00.000Z"
399.4110107422;415.8880004883;393.8789978027;414.2430114746;1196000000;40903130395.8;"2018-04-10T00:00:00.000Z"
493.1600036621;526.4699707031;482.658996582;492.7349853516;2419249920;48683660481.3;"2018-04-13T00:00:00.000Z"
532.0739746094;534.1970214844;500.25;511.1470031738;1758979968;50534185799.2;"2018-04-16T00:00:00.000Z"
524.0380249023;567.8889770508;523.2620239258;567.8889770508;2256869888;56178772001.3;"2018-04-19T00:00:00.000Z"
