date,cap
2019-05-13,138316573807.201
2019-05-16,139599559277.841
2019-05-18,128761727083.303
2019-05-21,141065573610.266
2019-05-24,141539115575.014
2019-05-27,156093754762.006
2019-05-30,147525141134.055
2019-06-02,155077231351.225
2019-06-05,138824651666.408
2019-06-08,141172841635.462
2019-06-11,140748537529.853
2019-06-14,154398880249.084
2019-06-17,165573372261.217
2019-06-20,169304784791.184
2019-06-22,190214124823.557
2019-06-25,209647943360.178
2019-06-28,220681459665.927
2019-07-01,188297637573.825
2019-07-04,199617404431.54
2019-07-07,203881891345.94
2019-07-10,216515999522.295
2019-07-13,202968191000.8
2019-07-16,168908640950.353
2019-07-19,187725578627.888
2019-07-22,184443440747.993
2019-07-25,176806451137.238
2019-07-28,170461958073.989
2019-07-30,171472452506.045
2019-08-02,187791090996.091
2019-08-05,210848822060.36
2019-08-08,213788089212.212
2019-08-11,205941632234.684
2019-08-14,179692803424.26
2019-08-17,182966857173
2019-08-20,192530283565.253
2019-08-23,186231409722.18
2019-08-26,185625235888.757
2019-08-29,170274910132.348
2019-09-01,174768292883.373
2019-09-04,189810010607.682
2019-09-06,185530405363.172
2019-09-09,185263578990.272
2019-09-12,186678943058.602
2019-09-15,185618174383.964
2019-09-18,182998899156.058
2019-09-21,179853287294.13
2019-09-24,154785821876.078
2019-09-27,148212635834.013
2019-09-30,149011567415.156
2019-10-03,148448162840.339
2019-10-06,143607672862.462
2019-10-09,154579656110.395
2019-10-12,149965767624.062
2019-10-14,150680499056.444
2019-10-17,145853994297.969
2019-10-20,148026597063.944
2019-10-23,135337364281.804
2019-10-26,166547360781.636
2019-10-29,169883866262.332
2019-11-01,166928044163.92
2019-11-04,169706332936.354
2019-11-07,167138722904.034
2019-11-10,163364406731.87
2019-11-13,158949942842.024
2019-11-16,154354054193.602
2019-11-19,148178376842.59
2019-11-21,138031885378.783
2019-11-24,127327398565.035
2019-11-27,136102712894.028
2019-11-30,136829391048.646
2019-12-03,132359942301.421
2019-12-06,136504883934.631
2019-12-09,133904005787.106
2019-12-12,131087151088.483
2019-12-15,129481424647.556
2019-12-18,131754969804.179
2019-12-21,130267655889.328
2019-12-24,132687583294.875
2019-12-26,131200030099.764
2019-12-29,134570835775.06
2020-01-01,130580829149.587
2020-01-04,134442464030.264
2020-01-07,148152237653.685
2020-01-10,148249907276.742
2020-01-13,147890525972.527
2020-01-16,158465055984.185
2020-01-19,158194319734.796
2020-01-22,157783273070.101
2020-01-25,152143262649.888
2020-01-28,170205617954.856
2020-01-31,170112778161.315
2020-02-02,170034976661.751
2020-02-05,174983423932.952
2020-02-08,179615828322.347
2020-02-11,185917114988.663
2020-02-14,187862645448.777
2020-02-17,176585280987.035
2020-02-20,175147142158.083
2020-02-23,180963233539.785
2020-02-26,160879489024.207
2020-02-29,156895988083.74
2020-03-03,160383579416.238
2020-03-06,166548261959.532
2020-03-09,144706353758.487
2020-03-11,144508402670.563
2020-03-14,95014981943.9861
2020-03-17,95499941183.34
2020-03-20,113309245860.002
2020-03-23,117314776187.32
2020-03-26,122834375215.51
2020-03-29,108338520155.504
2020-04-01,120903014693.267
2020-04-04,125712834529.574
2020-04-07,131409299432.46
2020-04-10,125755496117.263
2020-04-13,125422221237.296
2020-04-16,130445413270
2020-04-18,133053136875.737
2020-04-21,126175238603.42
2020-04-24,138512029491.143
2020-04-27,143040988589.571
2020-04-30,158922133909.094
2020-05-03,163358189150.984
2020-05-06,170229620935.298
2020-05-09,176251395672.863
2020-05-12,161791577300.916
2020-05-15,171436341789.485
2020-05-18,178779483463.616
2020-05-21,166947987863.53
2020-05-24,161610414642.629
2020-05-26,162445535235.104
2020-05-29,173575756364.005
2020-06-01,186993405740.449
2020-06-04,180276153545.029
2020-06-07,179540253701.404
2020-06-10,181616765438.402
2020-06-13,174381819725.142
2020-06-16,175563963385.476
2020-06-19,170985625732.412
2020-06-22,177651397436.609
2020-06-25,170608289503.753
2020-06-28,168401806136.911
2020-07-01,169988756578.038
2020-07-03,167409720387.961
2020-07-06,172746103840.155
2020-07-09,170977231637.687
2020-07-12,170977422928.131
2020-07-15,169460074575.96
2020-07-18,168858972268.985
2020-07-21,172861732402.087
2020-07-25,178469614078.301
2020-07-28,201290022192.811
2020-07-31,208895308529.074
2020-08-03,207503423455.952
2020-08-06,217377233001.076
2020-08-08,216924147850.741
2020-08-11,210616121944.733
2020-08-14,217265120502.897
2020-08-17,226261747567.102
2020-08-20,219350310325.759
2020-08-23,215439967321.336
2020-08-26,212210534428.287
2020-08-29,212583870983.482
2020-09-01,221181001606.839
2020-09-04,194255818703.632
2020-09-07,191657203885.383
2020-09-10,191568387061.555
2020-09-13,190870759062.079
2020-09-15,199641896761.512
2020-09-18,202405809880.581
2020-09-21,193514327128.297
2020-09-24,199045623654.10297
2020-09-27,199357967522.50534
2020-09-30,199556965503.7717
2020-10-03,195233191301.2567
2020-10-06,196281911458.15378
2020-10-09,204827451843.37863
2020-10-12,213950143824.2092
2020-10-15,212873103428.00137
2020-10-18,212682581771.31262
2020-10-21,237532386962.5129
2020-10-23,239557562148.2678
2020-10-26,242250997935.6733
2020-10-29,248995322466.39035
2020-11-01,254569759062.58606
2020-11-04,261954213176.1068
2020-11-07,274970333139.98395
2020-11-10,283468380961.4247
2020-11-13,302505533181.2506
2020-11-16,309889423249.1071
2020-11-19,330475167134.4854
2020-11-22,340790183317.33075
2020-11-25,347558803507.37305
2020-11-28,328782832211.7004
2020-11-30,364229729425.8729
2020-12-03,360933936016.877
2020-12-06,359123541247.0556
2020-12-09,344486483494.44324
2020-12-12,349170613898.91974
2020-12-15,360614771026.8855
2020-12-18,429781092527.74475
2020-12-21,423625088584.1859
2020-12-24,441017197764.42126
2020-12-27,488213268382.0132
2020-12-30,536033807160.8408
2021-01-02,597205944668.8502
2021-01-05,631980005969.6278
2021-01-07,732062681138.1346
2021-01-10,713304617760.9486
2021-01-13,694069582193.7559
2021-01-16,673000645230.8221
2021-01-19,671081200699.8711
2021-01-22,614160521491.5516
2021-01-25,602350097075.4393
2021-01-28,622910073819.62
2021-01-31,616452744533.29
2021-02-03,697672910488.43
2021-02-06,731192490092.84
2021-02-09,865682956618.92
2021-02-12,884874050611.84
2021-02-14,907551330153.22
2021-02-17,971611626454.28
